id,first_name,last_name,username,email,profile_picture,phone_number,created_at,updated_at,state,city,neighborhood,bio
0b45a8b6-77e1-4620-9fe2-e4ac66325e95,Gustavo,Nascimento,gus_nascimento,gus_nascimento@gmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/0b45a8b6-77e1-4620-9fe2-e4ac66325e95/homem1.jpeg,031 98668-9669,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Anchieta,"Mineiro raiz, dev de coração."
3f938b59-0a02-4be4-a5a4-151ea62865e0,Camila,Pereira,camipereiraa,camipereiraa@hotmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/3f938b59-0a02-4be4-a5a4-151ea62865e0/pessoa1.jpeg,031 93504-3621,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Barreiro,Especialista em bugs misteriosos.
4e4882c5-936a-48fa-bfc5-586f4eb34722,Pedro,Oliveira,pedroliv99,pedroliv99@gmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/4e4882c5-936a-48fa-bfc5-586f4eb34722/homem2.jpeg,031 93266-9348,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Centro,Sempre em busca de aprender algo novo.
50cc083d-10d9-48ab-8c6b-ee90929e6a03,Fernanda,Araujo,araujofe_xx,fernandaaraujo@gmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/50cc083d-10d9-48ab-8c6b-ee90929e6a03/pessoa2.jpeg,031 95119-1188,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Sion,Sempre online (quase sempre).
5b5ef8b0-151e-4695-9b02-8a6a22375d80,João,Costa,costinha17__,costaa@yahoo.com.br,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/5b5ef8b0-151e-4695-9b02-8a6a22375d80/homem3.jpeg,031 91771-2796,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Pampulha,Fã de tecnologia e pão de queijo.
6b1652ca-8d15-4f45-be16-2e2057874802,Lucas,Silva,lucas.silva,lucas.silva@hotmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/6b1652ca-8d15-4f45-be16-2e2057874802/homem4.jpeg,031 98019-7543,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Savassi,Apaixonado por café e códigos.
6e3127fb-145a-4699-a1f2-6b36d8d22057,Rafael,Rodrigues,rafarodrigues,rafarodrigues@gmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/6e3127fb-145a-4699-a1f2-6b36d8d22057/homem5.jpeg,031 97916-2040,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Serra,Viciado em séries e sprints ágeis.
c00a65aa-08a5-4394-9dbd-49350d6b1e50,Beatriz,Almeida,beahalmeida10,beahalmeida10@hotmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/c00a65aa-08a5-4394-9dbd-49350d6b1e50/pessoa3.jpeg,031 97304-7252,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Buritis,Resolvo problemas antes do café acabar.
cd437842-9f11-44cf-8599-42a9ae5fc5a7,Felipe,Barbosa,felipee_x32,felipebarbosax32@gmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/cd437842-9f11-44cf-8599-42a9ae5fc5a7/homem6.jpeg,031 92827-5808,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Santa Tereza,"Testando tudo, quebrando nada."
d45fb520-1e56-4075-9078-c380c5c44bf3,Mariana,Souza,mariana.souza,mariana.souza@gmail.com,https://ovfjstiarymsmxakewqu.supabase.co/storage/v1/object/public/profile-pictures/d45fb520-1e56-4075-9078-c380c5c44bf3/pessoa4.jpeg,031 96930-4593,2025-07-03 03:21:09.583631+00,2025-07-03 03:21:09.583631+00,MG,Belo Horizonte,Funcionários,Adoro trilhas e novos desafios.
